data_id,title,content,tags,comment,expected_valid
BASE_001,我的AI测试实践,用 Playwright MCP 生成可执行测试，并保留完整证据。,"AI测试, Playwright",这是自动生成后的验证评论,true
TITLE_MIN_001,测,最小标题边界正文,AI测试,好的,true
TITLE_MAX_050,标测测测测测测测测测测测测测测测测测测测测测测测测测测测测测测测测测测测测测测测测测测测测测测测测测,最大标题边界正文,AI测试,好的,true
TITLE_BLANK,   ,空白标题正文,AI测试,好的,false
TITLE_OVER_051,测测测测测测测测测测测测测测测测测测测测测测测测测测测测测测测测测测测测测测测测测测测测测测测测测测测,超长标题正文,AI测试,好的,false
CONTENT_MIN_001,正文最小边界,正,AI测试,好的,true
CONTENT_MAX_500,正文最大边界,正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正,AI测试,好的,true
CONTENT_OVER_501,正文越界,正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正正,AI测试,好的,false
CONTENT_BLANK,正文空白,   ,AI测试,好的,false
TAGS_BLANK,无标签内容,无标签正文,,好的,true
TAGS_ONE,单标签内容,单标签正文,Playwright,好的,true
TAGS_MULTI,多标签内容,多标签正文,"AI测试, Playwright, 自动化",好的,true
TAGS_DEDUP,标签去重内容,这是用于搜索和标签去重的正文片段,"AI测试, AI测试,  Playwright",好的,true
COMMENT_MIN_001,评论边界,评论边界正文,AI测试,好,true
COMMENT_MAX_100,评论边界,评论边界正文,AI测试,好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好,true
COMMENT_OVER_101,评论边界,评论边界正文,AI测试,好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好,false
COMMENT_BLANK,评论空白,评论空白正文,AI测试,   ,false
LIKE_BASE,点赞状态测试,用于点赞切换的正文,AI测试,点赞验证评论,true
PERSIST_BASE,持久化测试,用于离开返回持久化的正文,AI测试,持久化验证评论,true
COMMENT_BASE,评论计数测试,用于评论边界的正文,AI测试,评论计数基础,true
